"","x","y"
"1",1,"subject"
"2",2,"activity"
"3",3,"Mean for tBodyAcc-mean()-X"
"4",4,"Mean for tBodyAcc-mean()-Y"
"5",5,"Mean for tBodyAcc-mean()-Z"
"6",6,"Mean for tBodyAcc-std()-X"
"7",7,"Mean for tBodyAcc-std()-Y"
"8",8,"Mean for tBodyAcc-std()-Z"
"9",9,"Mean for tGravityAcc-mean()-X"
"10",10,"Mean for tGravityAcc-mean()-Y"
"11",11,"Mean for tGravityAcc-mean()-Z"
"12",12,"Mean for tGravityAcc-std()-X"
"13",13,"Mean for tGravityAcc-std()-Y"
"14",14,"Mean for tGravityAcc-std()-Z"
"15",15,"Mean for tBodyAccJerk-mean()-X"
"16",16,"Mean for tBodyAccJerk-mean()-Y"
"17",17,"Mean for tBodyAccJerk-mean()-Z"
"18",18,"Mean for tBodyAccJerk-std()-X"
"19",19,"Mean for tBodyAccJerk-std()-Y"
"20",20,"Mean for tBodyAccJerk-std()-Z"
"21",21,"Mean for tBodyGyro-mean()-X"
"22",22,"Mean for tBodyGyro-mean()-Y"
"23",23,"Mean for tBodyGyro-mean()-Z"
"24",24,"Mean for tBodyGyro-std()-X"
"25",25,"Mean for tBodyGyro-std()-Y"
"26",26,"Mean for tBodyGyro-std()-Z"
"27",27,"Mean for tBodyGyroJerk-mean()-X"
"28",28,"Mean for tBodyGyroJerk-mean()-Y"
"29",29,"Mean for tBodyGyroJerk-mean()-Z"
"30",30,"Mean for tBodyGyroJerk-std()-X"
"31",31,"Mean for tBodyGyroJerk-std()-Y"
"32",32,"Mean for tBodyGyroJerk-std()-Z"
"33",33,"Mean for tBodyAccMag-mean()"
"34",34,"Mean for tBodyAccMag-std()"
"35",35,"Mean for tGravityAccMag-mean()"
"36",36,"Mean for tGravityAccMag-std()"
"37",37,"Mean for tBodyAccJerkMag-mean()"
"38",38,"Mean for tBodyAccJerkMag-std()"
"39",39,"Mean for tBodyGyroMag-mean()"
"40",40,"Mean for tBodyGyroMag-std()"
"41",41,"Mean for tBodyGyroJerkMag-mean()"
"42",42,"Mean for tBodyGyroJerkMag-std()"
"43",43,"Mean for fBodyAcc-mean()-X"
"44",44,"Mean for fBodyAcc-mean()-Y"
"45",45,"Mean for fBodyAcc-mean()-Z"
"46",46,"Mean for fBodyAcc-std()-X"
"47",47,"Mean for fBodyAcc-std()-Y"
"48",48,"Mean for fBodyAcc-std()-Z"
"49",49,"Mean for fBodyAcc-meanFreq()-X"
"50",50,"Mean for fBodyAcc-meanFreq()-Y"
"51",51,"Mean for fBodyAcc-meanFreq()-Z"
"52",52,"Mean for fBodyAccJerk-mean()-X"
"53",53,"Mean for fBodyAccJerk-mean()-Y"
"54",54,"Mean for fBodyAccJerk-mean()-Z"
"55",55,"Mean for fBodyAccJerk-std()-X"
"56",56,"Mean for fBodyAccJerk-std()-Y"
"57",57,"Mean for fBodyAccJerk-std()-Z"
"58",58,"Mean for fBodyAccJerk-meanFreq()-X"
"59",59,"Mean for fBodyAccJerk-meanFreq()-Y"
"60",60,"Mean for fBodyAccJerk-meanFreq()-Z"
"61",61,"Mean for fBodyGyro-mean()-X"
"62",62,"Mean for fBodyGyro-mean()-Y"
"63",63,"Mean for fBodyGyro-mean()-Z"
"64",64,"Mean for fBodyGyro-std()-X"
"65",65,"Mean for fBodyGyro-std()-Y"
"66",66,"Mean for fBodyGyro-std()-Z"
"67",67,"Mean for fBodyGyro-meanFreq()-X"
"68",68,"Mean for fBodyGyro-meanFreq()-Y"
"69",69,"Mean for fBodyGyro-meanFreq()-Z"
"70",70,"Mean for fBodyAccMag-mean()"
"71",71,"Mean for fBodyAccMag-std()"
"72",72,"Mean for fBodyAccMag-meanFreq()"
"73",73,"Mean for fBodyBodyAccJerkMag-mean()"
"74",74,"Mean for fBodyBodyAccJerkMag-std()"
"75",75,"Mean for fBodyBodyAccJerkMag-meanFreq()"
"76",76,"Mean for fBodyBodyGyroMag-mean()"
"77",77,"Mean for fBodyBodyGyroMag-std()"
"78",78,"Mean for fBodyBodyGyroMag-meanFreq()"
"79",79,"Mean for fBodyBodyGyroJerkMag-mean()"
"80",80,"Mean for fBodyBodyGyroJerkMag-std()"
"81",81,"Mean for fBodyBodyGyroJerkMag-meanFreq()"
